visitorid,timestamp
172,1436844676639
172,1436847461448
172,1436848482402
172,1436848648303
172,1436848805277
172,1436848871619
172,1436848932823
172,1436848989537
172,1436849146584
172,1436849172774
172,1436849604271
172,1436849713821
172,1436849869378
172,1436849997861
172,1436850087714
172,1436850189788
172,1436850275606
172,1436850436201
172,1436930489112
172,1436930598370
172,1436930673054
172,1436931511234
172,1436931527561
172,1436931547662
172,1436933142751
172,1439599752998
172,1439599816912
172,1439599994805
172,1439600123480
172,1439600616627
172,1439600734852
172,1439600798438
172,1439601219691
172,1439601228324
172,1439602029037
172,1439602047421
172,1439602141230
172,1439602141686
186,1439396896523
186,1439397297040
186,1439399604184
186,1439420372345
264,1441645752830
264,1441646849375
264,1441647062509
264,1441647064088
264,1441647066184
264,1441647285614
264,1441647285708
419,1438138666756
419,1438138939852
419,1438141673631
419,1438141899407
419,1438142629136
419,1438146192695
539,1434432961688
539,1434433073199
539,1434433078637
539,1434433178673
539,1434433315269
539,1434433324128
539,1434470992149
627,1440098972726
627,1440099003768
627,1440099161056
627,1440099905293
627,1440099961936
627,1440100359389
627,1440100416615
627,1440100457311
627,1440100487366
627,1440100516099
627,1440100645793
627,1440100726843
627,1440101094728
627,1440101891332
627,1440102033943
627,1440103716892
627,1440104172976
627,1440112739002
627,1440112835498
795,1439240768740
795,1439243682003
795,1439244127846
795,1439252390071
795,1439252692809
795,1439256754724
795,1439256967750
795,1439257639616
795,1439257790118
795,1439257962789
795,1439258234600
795,1439316884395
795,1439879837574
795,1440225689431
795,1440386185265
795,1440453002092
914,1439858746774
914,1439859017123
914,1439859047831
964,1436901646832
964,1436901935166
964,1436902481298
964,1436902688954
964,1436903068549
964,1436903588390
964,1436903657214
964,1436903709611
1032,1435333314404
1032,1435333329001
1032,1435335315712
1032,1435335658601
1032,1435346803733
1032,1435346930661
1032,1438113258395
1636,1431049444624
1636,1431049616078
1636,1431050468389
1765,1434763080086
1765,1434939354448
1765,1434939399153
1765,1434939576914
1765,1434939810540
1765,1434950959395
1765,1434951457057
1765,1434982706255
1765,1435032986663
1765,1435099169763
1765,1435537962726
1765,1435537964977
1765,1435537977468
1765,1435538002159
2019,1431240692226
2019,1433311683162
2019,1433311895274
2019,1433312101239
2019,1433312121093
2019,1433312335705
2019,1433312342685
2019,1433313054091
2019,1433315885752
2019,1433315990338
2019,1433316223629
2019,1433316283038
2019,1433316337878
2019,1433316361979
2019,1433316427789
2019,1433316439898
2019,1433316807081
2019,1433316871761
2019,1433316942208
2019,1433316943476
2019,1433316991957
2019,1433317627474
2019,1433367232400
2019,1433367369527
2019,1433367512239
2019,1433367886859
2019,1433368065345
2019,1433368333321
2019,1433368509996
2019,1433368510965
2019,1433829887113
2019,1434201849077
2133,1431990034714
2133,1431990062585
2133,1431990254925
2216,1436295955679
2216,1436296177761
2216,1436298484505
2216,1436299888220
2216,1436301528144
2242,1434334208224
2242,1434335842870
2242,1434335890054
2242,1434335993380
2242,1434338129040
2242,1434339796245
2242,1434516361387
2242,1434516704566
2242,1434516757160
2242,1434517189839
2242,1434517339901
2242,1434517380524
2242,1434517430085
2242,1434517471514
2242,1434517506065
2242,1434865490101
2242,1435038859221
2242,1435042454201
2242,1435217266127
2468,1430792942038
2468,1430792967176
2468,1430792968874
2468,1430793078378
2519,1441572083448
2519,1441572256048
2519,1441572323766
2519,1441572518553
2519,1442299433236
2519,1442300026084
2519,1442300134335
2519,1442300229902
2519,1442300279840
2519,1442300378138
2519,1442300526423
2519,1442300779020
2519,1442301701006
2519,1442301707805
2519,1442302029806
2519,1442381720874
2598,1436732869353
2598,1436732979348
2598,1436732979395
2598,1436733022954
2598,1436733384183
2646,1438051755062
2646,1438051894936
2646,1438051919368
2646,1438052094135
2646,1438052543108
2646,1438096909782
2646,1438097086331
2646,1438097443692
2646,1438097649833
2807,1442072840779
2807,1442072988192
2807,1442073142637
2807,1442073551803
2807,1442073832078
3048,1441925112904
3048,1441925162594
3104,1431910320435
3104,1431910499902
3104,1431911572069
3104,1431911648275
3104,1431911836223
3104,1431912020279
3104,1431912079867
3104,1431912198082
3104,1431912236167
3104,1431912284268
3104,1431912316411
3104,1431912497495
3104,1431912553886
3104,1431912562652
3104,1431912596619
3104,1431912626026
3104,1431912635278
3104,1431912649638
3104,1431912661950
3104,1431912663982
3104,1431912667607
3104,1431912671326
3104,1431912674341
3104,1431912683248
3104,1431912689701
3104,1431912692123
3104,1431912694482
3104,1431912695482
3104,1431912763789
3104,1431912928635
3104,1431912988770
3104,1431913005899
3104,1431913129722
3104,1431913168879
3104,1431913346102
3104,1431913404422
3104,1432184548804
3104,1432184557006
3104,1432184563669
3104,1432184568835
3104,1432186157421
3104,1432186160374
3104,1432186162493
3104,1432186162706
3104,1432273164453
3104,1432273174918
3104,1432273992723
3104,1432273992770
3171,1439247620618
3171,1439247680760
3171,1439247922334
3171,1439248031824
3174,1440027057119
3174,1440029348825
3174,1440085457766
3174,1440085460708
3174,1440085612583
3251,1437671260595
3251,1437671398409
3251,1437671935289
3258,1434999066544
3258,1434999141197
3258,1434999154514
3258,1434999165724
3258,1434999286269
3258,1434999308401
3258,1434999440468
3258,1434999513058
3258,1434999736233
3258,1434999738975
3258,1434999874230
3258,1434999874325
3258,1434999963908
3258,1434999970990
3258,1434999978158
3258,1434999986088
3258,1434999995425
3258,1434999998471
3258,1435000170630
3258,1435000171620
3258,1435000264316
3258,1435000332825
3258,1435003493295
3258,1435065194491
3258,1435067550227
3258,1435067564357
3404,1438287541382
3404,1438287974605
3404,1438288021885
3404,1438288721101
3404,1438308606653
3404,1438308682529
3404,1438308867875
3404,1438835277614
3465,1434418234450
3465,1434418260122
3465,1434418329233
3465,1434418454835
3465,1434418455600
3465,1434418664698
3465,1434418664698
3465,1434418664698
3581,1442072876549
3581,1442072991482
3581,1442073123844
3847,1433984694941
3847,1433991221480
3847,1433991259783
3847,1433991428443
3847,1435516376172
3896,1435693545334
3896,1435693579585
3896,1435694303928
3926,1433274255832
3926,1433274259035
3926,1433275316963
3926,1434501094880
3926,1434501146989
3926,1434501184808
3926,1434501233859
3926,1434501239961
3926,1434501265053
3926,1434501277715
3926,1434501277715
3926,1434501640287
3926,1434501640380
3926,1439930490407
3936,1440220563903
3936,1440220627869
3936,1440220889423
3936,1440313136779
3936,1440358378924
3936,1440358516532
3936,1440358540241
3936,1440358626193
3936,1440358831673
3936,1440380799249
3936,1440380967938
3936,1440381016080
3936,1440381079669
3936,1440381308956
3936,1440384085490
3936,1440385090515
3936,1440385171282
4061,1431801253047
4061,1431805402404
4061,1431805609090
4061,1431806084891
4101,1432167078986
4101,1432167114350
4101,1432167798458
4101,1432167806833
4101,1432167826262
4101,1432167899658
4101,1432167910185
4101,1432167929507
4101,1432167965863
4101,1432167968276
4101,1432168034658
4101,1432168094309
4101,1432168120855
4101,1432168144031
4101,1432168156535
4101,1432168157082
4101,1432168345013
4101,1432168345232
4101,1432168345247
4101,1432168345279
4101,1432169372166
4101,1432169476551
4101,1432169484038
4101,1432170611485
4101,1432170770205
4101,1432171117985
4113,1436975292794
4113,1437150477987
4113,1437150509424
4113,1437150547849
4113,1437150565906
4113,1437150612731
4113,1437150904462
4113,1437151666513
4113,1437152314776
4113,1437152885894
4113,1437156505425
4113,1437235252896
4113,1437235957114
4113,1437237025412
4113,1437252266256
4113,1437252312915
4113,1437421788399
4115,1435431998644
4115,1435432057987
4115,1435432113389
4115,1435432126342
4115,1435432362647
4115,1435432956349
4115,1435433213401
4115,1435433556446
4241,1434045106740
4241,1434045113098
4241,1434045177660
4368,1438535369288
4368,1438537453982
4368,1438537553849
4368,1438749130284
4368,1438788918561
4368,1438806037473
4368,1438833155643
4368,1439051584013
4368,1439054572863
4368,1439054596849
4537,1431566622959
4537,1441562239711
4537,1441562842780
4537,1441562888780
4537,1441563008789
4537,1441563014516
4537,1441563016224
4537,1441589091771
4537,1441589094607
4537,1441589173013
4606,1431969911200
4606,1431970630899
4606,1431972248778
4606,1431972306686
4606,1431972349315
4606,1431972962400
4606,1431972962416
4694,1434430055252
4694,1434430179710
4694,1434430188210
4694,1434430191929
4694,1434431084090
4694,1434431084168
4899,1431524644540
4899,1431524935352
4899,1431525128489
4899,1431526762080
4899,1431526771088
4899,1431527054535
5042,1436718192305
5042,1436718244605
5042,1436718310221
5042,1436718787018
5042,1436718795906
5042,1436719727267
5042,1436719838055
5042,1436720158059
5042,1436721296781
5042,1436721352864
5042,1436721418478
5042,1436721626567
5042,1436723199453
5061,1438634714185
5061,1438634736546
5061,1438635046848
5117,1430807001135
5117,1431668542387
5117,1433665138803
5117,1433668481902
5117,1433668850617
5117,1433807420888
5117,1433828189658
5117,1433829045499
5117,1433894435072
5117,1433894508172
5117,1433894752323
5207,1442367266197
5207,1442367465016
5207,1442367696303
5207,1442446650266
5207,1442448144611
5207,1442448313479
5207,1442448357670
5207,1442448475823
5207,1442448485295
5207,1442448577539
5207,1442448704411
5207,1442451282842
5423,1439075338970
5423,1439075647911
5423,1439075693477
5703,1438017753332
5703,1438017848725
5703,1438017969154
5703,1438018301139
5703,1438018507384
5703,1438026007709
5703,1438026135918
5703,1438026199367
5703,1438030995619
5703,1438030995619
5939,1441773998398
5939,1441775069189
5939,1441775370806
5939,1441945191168
6029,1430711938445
6029,1430713561673
6029,1430714114949
6029,1430714326148
6029,1430714414170
6029,1430714504373
6029,1430714685046
6029,1430714822137
6029,1430714961388
6029,1430715012828
6029,1430715145368
6029,1430715251721
6029,1430715485707
6029,1430716284978
6029,1430716445049
6029,1430716541505
6029,1430763458058
6029,1430763476320
6029,1430763552283
6029,1430763760443
6029,1430764152394
6029,1430764212048
6029,1430764440820
6029,1430764701844
6029,1430764951992
6029,1430766047659
6029,1430766298138
6029,1430767064519
6029,1430767384775
6190,1431188709493
6190,1431189871344
6190,1431190007229
6265,1437468818769
6390,1438807580547
6390,1439046591241
6390,1439046696185
6431,1438016377259
6431,1438016497855
6431,1438016852963
6431,1438017406226
6468,1438901990490
6468,1438902000478
6468,1438969708077
6468,1438969864028
6468,1438969966614
6468,1438970038516
6468,1438970178099
6468,1438970251941
6468,1438970324569
6468,1438970403297
6468,1438970423728
6468,1438970428985
6468,1438970548781
6468,1438971385145
6468,1438971385160
6468,1438971385160
6468,1438971385223
6468,1439850977518
6618,1440275630779
6618,1440276323869
6618,1440276367790
6618,1440276434513
6699,1431034227547
6699,1431034228313
6699,1431034229659
6699,1431034533232
6699,1431034629939
6699,1431035012867
6699,1431035017098
6699,1431035205937
6699,1431035209383
6699,1431035326612
6699,1431035348774
6699,1431035449083
6699,1431035651023
6699,1431035701376
6699,1431035756077
6699,1431035764448
6699,1431035821675
6699,1431035873401
6699,1431035902619
6699,1431036086729
6699,1431036203733
6699,1431036219573
6699,1431036367254
6699,1431036679653
6699,1431036777928
6699,1431037235612
6699,1431037276664
6699,1431037322597
6699,1431037428920
6699,1431037469664
6699,1431038215130
6699,1431038323866
6699,1431038457760
6699,1431038544430
6699,1431038558616
6699,1431038590303
6699,1431039562595
