representation,split_seed,k,k_prime,rule_id,leaf_id,cluster_id,condition_index,feature_index,feature,threshold,threshold_original,threshold_scaled,feature_transform,direction,path,condition_count,leaf_training_samples,engine
compact,20260801,4,4,0,0,2,0,1,purchase_occasion_count,9.000000000000002,9.000000000000002,5.094710517465311,log1p_then_standardize,<=,x[1] <= 5.0947105174653107 AND x[0] <= -0.52775628028331611,2,2206,exkmc_0.0.3
compact,20260801,4,4,0,0,2,1,0,purchase_recency_days,36.05701519675926,36.05701519675926,-0.5277562802833161,log1p_then_standardize,<=,x[1] <= 5.0947105174653107 AND x[0] <= -0.52775628028331611,2,2206,exkmc_0.0.3
compact,20260801,4,4,1,1,0,0,1,purchase_occasion_count,9.000000000000002,9.000000000000002,5.094710517465311,log1p_then_standardize,<=,x[1] <= 5.0947105174653107 AND x[0] > -0.52775628028331611 AND x[1] <= -0.21256171974272467,3,6520,exkmc_0.0.3
compact,20260801,4,4,1,1,0,1,0,purchase_recency_days,36.05701519675926,36.05701519675926,-0.5277562802833161,log1p_then_standardize,>,x[1] <= 5.0947105174653107 AND x[0] > -0.52775628028331611 AND x[1] <= -0.21256171974272467,3,6520,exkmc_0.0.3
compact,20260801,4,4,1,1,0,2,1,purchase_occasion_count,1.0000000000000078,1.0000000000000078,-0.21256171974272467,log1p_then_standardize,<=,x[1] <= 5.0947105174653107 AND x[0] > -0.52775628028331611 AND x[1] <= -0.21256171974272467,3,6520,exkmc_0.0.3
compact,20260801,4,4,2,2,3,0,1,purchase_occasion_count,9.000000000000002,9.000000000000002,5.094710517465311,log1p_then_standardize,<=,x[1] <= 5.0947105174653107 AND x[0] > -0.52775628028331611 AND x[1] > -0.21256171974272467,3,576,exkmc_0.0.3
compact,20260801,4,4,2,2,3,1,0,purchase_recency_days,36.05701519675926,36.05701519675926,-0.5277562802833161,log1p_then_standardize,>,x[1] <= 5.0947105174653107 AND x[0] > -0.52775628028331611 AND x[1] > -0.21256171974272467,3,576,exkmc_0.0.3
compact,20260801,4,4,2,2,3,2,1,purchase_occasion_count,1.0000000000000078,1.0000000000000078,-0.21256171974272467,log1p_then_standardize,>,x[1] <= 5.0947105174653107 AND x[0] > -0.52775628028331611 AND x[1] > -0.21256171974272467,3,576,exkmc_0.0.3
compact,20260801,4,4,3,3,1,0,1,purchase_occasion_count,9.000000000000002,9.000000000000002,5.094710517465311,log1p_then_standardize,>,x[1] > 5.0947105174653107,1,73,exkmc_0.0.3
compact,20260801,4,5,0,0,2,0,1,purchase_occasion_count,9.000000000000002,9.000000000000002,5.094710517465311,log1p_then_standardize,<=,x[1] <= 5.0947105174653107 AND x[0] <= -0.52775628028331611,2,2206,exkmc_0.0.3
compact,20260801,4,5,0,0,2,1,0,purchase_recency_days,36.05701519675926,36.05701519675926,-0.5277562802833161,log1p_then_standardize,<=,x[1] <= 5.0947105174653107 AND x[0] <= -0.52775628028331611,2,2206,exkmc_0.0.3
compact,20260801,4,5,1,1,0,0,1,purchase_occasion_count,9.000000000000002,9.000000000000002,5.094710517465311,log1p_then_standardize,<=,x[1] <= 5.0947105174653107 AND x[0] > -0.52775628028331611 AND x[1] <= -0.21256171974272467 AND x[2] <= 0.61065706135772613,4,6200,exkmc_0.0.3
compact,20260801,4,5,1,1,0,1,0,purchase_recency_days,36.05701519675926,36.05701519675926,-0.5277562802833161,log1p_then_standardize,>,x[1] <= 5.0947105174653107 AND x[0] > -0.52775628028331611 AND x[1] <= -0.21256171974272467 AND x[2] <= 0.61065706135772613,4,6200,exkmc_0.0.3
compact,20260801,4,5,1,1,0,2,1,purchase_occasion_count,1.0000000000000078,1.0000000000000078,-0.21256171974272467,log1p_then_standardize,<=,x[1] <= 5.0947105174653107 AND x[0] > -0.52775628028331611 AND x[1] <= -0.21256171974272467 AND x[2] <= 0.61065706135772613,4,6200,exkmc_0.0.3
compact,20260801,4,5,1,1,0,3,2,purchase_event_count,2.0000000000000004,2.0000000000000004,0.6106570613577261,log1p_then_standardize,<=,x[1] <= 5.0947105174653107 AND x[0] > -0.52775628028331611 AND x[1] <= -0.21256171974272467 AND x[2] <= 0.61065706135772613,4,6200,exkmc_0.0.3
compact,20260801,4,5,2,2,3,0,1,purchase_occasion_count,9.000000000000002,9.000000000000002,5.094710517465311,log1p_then_standardize,<=,x[1] <= 5.0947105174653107 AND x[0] > -0.52775628028331611 AND x[1] <= -0.21256171974272467 AND x[2] > 0.61065706135772613,4,320,exkmc_0.0.3
compact,20260801,4,5,2,2,3,1,0,purchase_recency_days,36.05701519675926,36.05701519675926,-0.5277562802833161,log1p_then_standardize,>,x[1] <= 5.0947105174653107 AND x[0] > -0.52775628028331611 AND x[1] <= -0.21256171974272467 AND x[2] > 0.61065706135772613,4,320,exkmc_0.0.3
compact,20260801,4,5,2,2,3,2,1,purchase_occasion_count,1.0000000000000078,1.0000000000000078,-0.21256171974272467,log1p_then_standardize,<=,x[1] <= 5.0947105174653107 AND x[0] > -0.52775628028331611 AND x[1] <= -0.21256171974272467 AND x[2] > 0.61065706135772613,4,320,exkmc_0.0.3
compact,20260801,4,5,2,2,3,3,2,purchase_event_count,2.0000000000000004,2.0000000000000004,0.6106570613577261,log1p_then_standardize,>,x[1] <= 5.0947105174653107 AND x[0] > -0.52775628028331611 AND x[1] <= -0.21256171974272467 AND x[2] > 0.61065706135772613,4,320,exkmc_0.0.3
compact,20260801,4,5,3,3,3,0,1,purchase_occasion_count,9.000000000000002,9.000000000000002,5.094710517465311,log1p_then_standardize,<=,x[1] <= 5.0947105174653107 AND x[0] > -0.52775628028331611 AND x[1] > -0.21256171974272467,3,576,exkmc_0.0.3
compact,20260801,4,5,3,3,3,1,0,purchase_recency_days,36.05701519675926,36.05701519675926,-0.5277562802833161,log1p_then_standardize,>,x[1] <= 5.0947105174653107 AND x[0] > -0.52775628028331611 AND x[1] > -0.21256171974272467,3,576,exkmc_0.0.3
compact,20260801,4,5,3,3,3,2,1,purchase_occasion_count,1.0000000000000078,1.0000000000000078,-0.21256171974272467,log1p_then_standardize,>,x[1] <= 5.0947105174653107 AND x[0] > -0.52775628028331611 AND x[1] > -0.21256171974272467,3,576,exkmc_0.0.3
compact,20260801,4,5,4,4,1,0,1,purchase_occasion_count,9.000000000000002,9.000000000000002,5.094710517465311,log1p_then_standardize,>,x[1] > 5.0947105174653107,1,73,exkmc_0.0.3
compact,20260801,4,6,0,0,2,0,1,purchase_occasion_count,9.000000000000002,9.000000000000002,5.094710517465311,log1p_then_standardize,<=,x[1] <= 5.0947105174653107 AND x[0] <= -0.52775628028331611 AND x[2] <= 1.3137267097676402,3,2092,exkmc_0.0.3
compact,20260801,4,6,0,0,2,1,0,purchase_recency_days,36.05701519675926,36.05701519675926,-0.5277562802833161,log1p_then_standardize,<=,x[1] <= 5.0947105174653107 AND x[0] <= -0.52775628028331611 AND x[2] <= 1.3137267097676402,3,2092,exkmc_0.0.3
compact,20260801,4,6,0,0,2,2,2,purchase_event_count,3.0,3.0,1.3137267097676402,log1p_then_standardize,<=,x[1] <= 5.0947105174653107 AND x[0] <= -0.52775628028331611 AND x[2] <= 1.3137267097676402,3,2092,exkmc_0.0.3
compact,20260801,4,6,1,1,3,0,1,purchase_occasion_count,9.000000000000002,9.000000000000002,5.094710517465311,log1p_then_standardize,<=,x[1] <= 5.0947105174653107 AND x[0] <= -0.52775628028331611 AND x[2] > 1.3137267097676402,3,114,exkmc_0.0.3
compact,20260801,4,6,1,1,3,1,0,purchase_recency_days,36.05701519675926,36.05701519675926,-0.5277562802833161,log1p_then_standardize,<=,x[1] <= 5.0947105174653107 AND x[0] <= -0.52775628028331611 AND x[2] > 1.3137267097676402,3,114,exkmc_0.0.3
compact,20260801,4,6,1,1,3,2,2,purchase_event_count,3.0,3.0,1.3137267097676402,log1p_then_standardize,>,x[1] <= 5.0947105174653107 AND x[0] <= -0.52775628028331611 AND x[2] > 1.3137267097676402,3,114,exkmc_0.0.3
compact,20260801,4,6,2,2,0,0,1,purchase_occasion_count,9.000000000000002,9.000000000000002,5.094710517465311,log1p_then_standardize,<=,x[1] <= 5.0947105174653107 AND x[0] > -0.52775628028331611 AND x[1] <= -0.21256171974272467 AND x[2] <= 0.61065706135772613,4,6200,exkmc_0.0.3
compact,20260801,4,6,2,2,0,1,0,purchase_recency_days,36.05701519675926,36.05701519675926,-0.5277562802833161,log1p_then_standardize,>,x[1] <= 5.0947105174653107 AND x[0] > -0.52775628028331611 AND x[1] <= -0.21256171974272467 AND x[2] <= 0.61065706135772613,4,6200,exkmc_0.0.3
compact,20260801,4,6,2,2,0,2,1,purchase_occasion_count,1.0000000000000078,1.0000000000000078,-0.21256171974272467,log1p_then_standardize,<=,x[1] <= 5.0947105174653107 AND x[0] > -0.52775628028331611 AND x[1] <= -0.21256171974272467 AND x[2] <= 0.61065706135772613,4,6200,exkmc_0.0.3
compact,20260801,4,6,2,2,0,3,2,purchase_event_count,2.0000000000000004,2.0000000000000004,0.6106570613577261,log1p_then_standardize,<=,x[1] <= 5.0947105174653107 AND x[0] > -0.52775628028331611 AND x[1] <= -0.21256171974272467 AND x[2] <= 0.61065706135772613,4,6200,exkmc_0.0.3
compact,20260801,4,6,3,3,3,0,1,purchase_occasion_count,9.000000000000002,9.000000000000002,5.094710517465311,log1p_then_standardize,<=,x[1] <= 5.0947105174653107 AND x[0] > -0.52775628028331611 AND x[1] <= -0.21256171974272467 AND x[2] > 0.61065706135772613,4,320,exkmc_0.0.3
compact,20260801,4,6,3,3,3,1,0,purchase_recency_days,36.05701519675926,36.05701519675926,-0.5277562802833161,log1p_then_standardize,>,x[1] <= 5.0947105174653107 AND x[0] > -0.52775628028331611 AND x[1] <= -0.21256171974272467 AND x[2] > 0.61065706135772613,4,320,exkmc_0.0.3
compact,20260801,4,6,3,3,3,2,1,purchase_occasion_count,1.0000000000000078,1.0000000000000078,-0.21256171974272467,log1p_then_standardize,<=,x[1] <= 5.0947105174653107 AND x[0] > -0.52775628028331611 AND x[1] <= -0.21256171974272467 AND x[2] > 0.61065706135772613,4,320,exkmc_0.0.3
compact,20260801,4,6,3,3,3,3,2,purchase_event_count,2.0000000000000004,2.0000000000000004,0.6106570613577261,log1p_then_standardize,>,x[1] <= 5.0947105174653107 AND x[0] > -0.52775628028331611 AND x[1] <= -0.21256171974272467 AND x[2] > 0.61065706135772613,4,320,exkmc_0.0.3
